Published_Date,Source,Extracted_Date,Text
2025-12-24,Australian Competition & Consumer Commission,2025-12-27,The ACCC's holiday operation hours. The ACCC wishes to inform you of our operations over the Christmas and New Year period.
2025-12-23,Australian Competition & Consumer Commission,2025-12-27,"Drone supplier EE Group admits to resale price maintenance. Industrial drone supplier, EE Group Australia Pty Ltd (EE Group), has admitted to engaging in resale price maintenance by directing certain resellers to not advertise or sell DJI drone products to consumers below a specified price."
2025-12-22,Australian Competition & Consumer Commission,2025-12-27,"City Beach ordered to pay $14 million in penalties for supplying non-compliant button battery products. Fashion retailer Fewstone, trading as City Beach, has been ordered by the Federal Court to pay $14 million in penalties for selling non-compliant button battery products."
2025-12-22,Australian Competition & Consumer Commission,2025-12-27,"ACCC urges households to change electricity plans to help offset price increases. Households that have been on the same electricity plan for more than three years are paying on average $221 per year more than customers on new plans, the ACCC’s latest Electricity Market Inquiry report reveals."
2025-12-22,Australian Competition & Consumer Commission,2025-12-27,"Tight supply forecast for Australia's east coast gas market in Q2 2026. Overall gas supply on Australia’s east coast is expected to be sufficient in the second
quarter of 2026; however, the southern states (Victoria, New South Wales, South Australia,
Tasmania and the Australian Capital Territory) will collectively rely on surplus gas from
Queensland and gas stores to meet demand."
