Published_Date,Source,Extracted_Date,Text
2025-12-24,Australian Competition & Consumer Commission,2025-12-25,The ACCC's holiday operation hours. The ACCC wishes to inform you of our operations over the Christmas and New Year period.
2025-12-23,Australian Competition & Consumer Commission,2025-12-25,"Drone supplier EE Group admits to resale price maintenance. Industrial drone supplier, EE Group Australia Pty Ltd (EE Group), has admitted to engaging in resale price maintenance by directing certain resellers to not advertise or sell DJI drone products to consumers below a specified price."
