Published_Date,Source,Extracted_Date,Text
2026-03-13,Australian Competition & Consumer Commission,2026-03-15,"ACCC calling on industry to explain widely varying fuel prices. Petrol and diesel price rises between 20 February and 11 March varied widely between Australian capital cities and in many cases have increased as fast as wholesale prices and in some cases by a greater extent, the ACCC’s new weekly fuel price monitoring update has shown."
2026-03-13,Australian Competition & Consumer Commission,2026-03-15,"Hyatt changes card surcharge practices as ACCC compliance monitoring continues. Hyatt hotels in Australia have changed their card payment surcharging practices, following an ACCC investigation.

After receiving reports from consumers, the ACCC investigated Hyatt Regency Sydney, and engaged with the regional group, Hyatt Hotels Corporation, about card payment surcharges."
