Published_Date,Source,Extracted_Date,Text
2026-03-20,Australian Competition & Consumer Commission,2026-03-21,"ACCC authorises fuel majors to coordinate to ensure fuel supplies, with conditions. The ACCC has granted an urgent interim authorisation to the Australian Institute of Petroleum, its members, and other relevant industry participants to coordinate in managing impacts to Australia’s fuel supply chain stemming from the conflict in the Middle East.
The ACCC also published its second weekly petrol and diesel price monitoring update."
2026-03-20,Australian Competition & Consumer Commission,2026-03-21,"NDIS provider Aidacare admits to misleading customers about their consumer guarantee rights. NDIS provider of healthcare equipment, Aidacare, has admitted it likely made false or misleading representations to some customers about their consumer guarantee rights."
2026-03-19,Australian Competition & Consumer Commission,2026-03-21,"ACCC investigating diesel supply conduct in regional and rural Australia. The ACCC has launched an enforcement investigation into allegations of anti-competitive conduct by each of the major fuel suppliers, Ampol Ltd, BP Australia Pty Ltd, Mobil Oil Australia Pty Ltd, and Viva Energy Australia Pty Ltd."
