Published_Date,Source,Extracted_Date,Text
2026-03-19,Australian Competition & Consumer Commission,2026-03-19,"ACCC investigating diesel supply conduct in regional and rural Australia. The ACCC has launched an enforcement investigation into allegations of anti-competitive conduct by each of the major fuel suppliers, Ampol Ltd, BP Australia Pty Ltd, Mobil Oil Australia Pty Ltd, and Viva Energy Australia Pty Ltd."
2026-03-17,Australian Competition & Consumer Commission,2026-03-19,Consumer impacts and regional supply issues at centre of discussions at emergency fuel meeting. Motoring groups and the ACCC outlined to fuel companies the impact that rapid price spikes and fuel supply issues are having on consumers and businesses around Australia at an emergency meeting convened by the ACCC in Sydney and Melbourne today.
