Published_Date,Source,Extracted_Date,Text
2026-03-13,Australian Competition & Consumer Commission,2026-03-13,"Hyatt changes card surcharge practices as ACCC compliance monitoring continues. Hyatt hotels in Australia have changed their card payment surcharging practices, following an ACCC investigation.

After receiving reports from consumers, the ACCC investigated Hyatt Regency Sydney, and engaged with the regional group, Hyatt Hotels Corporation, about card payment surcharges."
2026-03-11,Australian Competition & Consumer Commission,2026-03-13,"ACCC to increase fuel market scrutiny and calls on fuel retailers to explain pricing. The ACCC will urgently meet with fuel market participants to seek more detailed explanations for recent pricing conduct during the current Middle Eastern crisis, amid consumer concerns about sudden petrol and diesel price spikes and distribution issues in regional and rural Australia."
